id_category,category,parent
1,Outdoor Heating,0
2,Convection Microwaves,0
3,Digital Still Cameras,0
4,Speakers,0
5,Blower Vacuums,0
6,Trimmers,0
7,Chippers and Shredders,0
8,Chainsaws,0
9,Frypans,0
10,Gaming Accessories,0
11,Digital Photo Frames,0
12,Juicers,0
13,Headphones,0
14,Beauty Products,0
15,Wireless Speakers,0
16,Clock Radios,0
17,Radio Cassette,0
18,DVD Recorders,0
19,iPod Docks,0
20,Portable DVD Players,0
21,Heart Rate Monitors,0
22,Freestanding BBQ's,0
23,Set Top Boxes,0
24,Micro System,0
25,Home Theatre System,0
26,Camping,0
27,Ladies Shavers,0
28,Standard Microwaves,0
29,Wireless Speaker Dock,0
30,CD Player,0
31,Ironing Boards,0
32,Mini System,0
33,Turntables,0
34,BluRay Players,0
35,Hand Tools,0
36,Leisure Accessories,0
37,Luggage,0
38,Irons,0
39,Sporting Equipment,0
40,Kettles,0
41,Dental Products,0
42,Slow Cookers,0
43,Laundry Accessories,0
44,Cutlery,0
45,Gaming Consoles,0
46,Water Sports,0
47,Hair Care Products,0
48,Kitchenware,0
49,GPS Units,0
50,Fishing,0
51,Bread Maker,0
52,Games,0
53,Lawnmowers,0
54,Heaters,0
55,Blenders,0
56,Oven,0
57,Toasters,0
58,Coffee Machines,0
59,Utensils,0
60,Mens Shavers,0
61,Fans,0
62,Barrel Bagless Vacuums,0
63,Cordless Phones,0
64,Grills and Sandwich Presses,0
65,Upright Bagless Vacuums,0
66,Whipper Snippers,0
67,Tablets and iPads,0
68,Kitchen & Cooking Accessories,0
69,Printers,0
70,Power Tools,0
71,Deep Fryers,0
72,Food Steamer,0
73,Labellers,0
74,Sewing Machines,0
75,Tool Accessories,0
76,Bikes,0
77,Quilts,0
78,Sheet Sets,0
79,Manchester Accessories,0
80,Pillows,0
81,Freestanding/Built-In Dishwashers,0
82,Pizza Oven,0
83,Portable Heating/Cooling,0
84,TV Accessories,0
85,Computer Accessories,0
86,Personal Scales,0
87,Novelty Items,0
88,Barrel Vacuums,0
89,Mobile Phones,0
90,iPods,0
91,Camera Accessories,0
92,Digital SLR Cameras,0
93,Communications Accessories,0
94,Component Accessories,0
95,Binoculars,0
96,Digital Video Cameras,0
97,LCD TV's,0
98,Sound Bar,0
99,Toys,0
100,BBQ Accessories,0
101,Watches,0
102,Accessory Add Ons,0
103,LCD Projectors,0
104,Wallets,0
105,Surfwear Accessories,0
106,Laptops,0
107,Portable Fridge/Freezer,0
108,Sunglasses,0
109,Hand Bags,0
110,Quilt Covers,0
111,Gardening Accessories,0
112,Handheld Vacuums,0
113,Towel Sets,0
114,Quilt Cover Sets,0
115,Mouse,0
116,Office Accessories,0
117,Keyboards,0
118,Receivers,0
119,Portable Audio Accessories,0
120,Robot Vacuums,0
121,Blankets,0
122,Multifunction Centres,0
123,Personal Care Accessories,0
124,Desktop Computers,0
125,Pillow Cases,0
126,DVD Players,0
127,Glassware,0
